id,name,sku,categories,fulfillment,source,cost,margin_pct,price,stock_qty,sizes,size_prices,image,description,featured,active,kits,colors,logo,supplier_sku
P038,"Janitor Cart Complete Kit, 3 Shelf w/ Yellow & Black Bags & Lid",MG0074,New Building Items; Cleaning Tools; Carts & Dollies,Supplier Order,Brady,182.28,35%,280.43,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/MG0074_01_md.png,"Three-shelf cart kit with two 25-gallon bags (yellow, and black zippered with lid), mop and broom holders, and heavy-duty wheels.",0,1,office:core:1; medical:core:1; school:core:1; gmp:core:1,,,
P039,Dust Mop Treatment Spray 32oz,IDMD2012,Chemicals; Sweeping & Dust Mopping,Supplier Order,Brady,3.29,35%,5.06,,,,https://www.jotform.com/uploads/tjroberts/form_files/dust_mop_treatment_bf6932c973e785443ce1054315e95b17.jpg,Ready-to-use spray that makes dust stick to your mop instead of resettling. Protects floor finish from grit scratches.,0,1,industrial:core:1; school:opt:1,,,
P040,"Consume Enzyme Cleaner & Drain Maintainer, 1 Gallon",CC2001,Chemicals,Supplier Order,Brady,13.30,35%,20.46,,,,https://www.spartanchemical.com/globalassets/sharepoint/media-assets---all-pictures/product-photography/detail/309704_Consume.jpg,"Bacteria and enzyme cleaner that digests organic waste. Cleans floors and concrete, eliminates odors, and keeps drains clear.",0,1,industrial:core:1; gmp:core:1; office:opt:1,,,
P041,"Fantastico All Purpose Cleaner, Lavender, 1 Gallon",IDKL-CHAP15,Chemicals; Floor Cleaners,Supplier Order,Brady,9.75,35%,15.00,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/6da6f33ee405ca8_md.jpg,"Super concentrate that makes 128 gallons of ready-to-use solution. Works on nearly any washable surface. No rinsing, no streaks.",0,1,office:core:1; school:core:1; industrial:core:1; gmp:core:1,,,
P042,Oven & Grill Cleaner 32oz,IDKL-CHFS2,Chemicals; Kitchens (Sands),Supplier Order,Brady,4.39,35%,6.75,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/d7803c6a805a550_md.jpg,"Heavy-duty, non-fuming cleaner for commercial ovens, grills, and flat tops. Works on warm or cold surfaces.",0,1,industrial:opt:1; gmp:core:1,,,
P043,"Sani-Tyze Food Contact Sanitizer, 1 Quart",CM8305,Chemicals; Kitchens (Sands),Supplier Order,Brady,2.94,35%,4.52,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/cm8305.jpg,"Ready-to-use quat sanitizer safe for food-contact surfaces. Spray and wipe cutting boards, counters, and prep stations.",0,1,gmp:core:2; school:core:1; industrial:opt:1,,,
P044,"BioRenewables Glass Cleaner Concentrate, 2 Liter",CK4835,Octapharma,Supplier Order,Brady,62.48,35%,96.12,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ck4835.jpg,Clean On The Go concentrate. Each 2-liter bottle makes 33 gallons of streak-free glass cleaner. Green Seal certified.,0,1,office:opt:1; school:opt:1,,,
P045,"Clean by Peroxy All Purpose Concentrate, 2 Liter (Qty 4)",CK3000,Octapharma,Supplier Order,Brady,80.36,35%,123.63,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ck3000.jpg,"Peroxide-based concentrate for glass, floors, walls, carpet, restrooms, and tile. Each bottle makes 33 gallons. Green Seal certified.",0,1,,,,
P046,"Xcelente Multi-Purpose Concentrate, 2 Liter (Qty 4)",CK8004,Octapharma,Supplier Order,Brady,42.07,35%,64.72,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ck8004.jpg,"Lavender-scent concentrate that makes 85 to 512 gallons per bottle. Streak-free shine on floors, walls, and counters.",0,1,,,,
P047,Crew Non-Acid Bathroom Disinfectant Cleaner 32oz,CF9200,Chemicals,Supplier Order,Brady,2.23,35%,3.43,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/cf9200.jpg,"One-step non-acid disinfectant for bowls, urinals, sinks, and counters. Safe for daily use, septic-safe, EPA registered.",0,1,office:core:1; school:core:1,,,
P048,"BRUTE Rim Caddy, Yellow",RB2350,Cleaning Tools,Supplier Order,Brady,51.20,35%,78.77,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/6ad133ba6098d22_md.jpg,"Snaps onto a 44-gallon BRUTE rim and turns it into a mobile cleaning cart. Holds bottles, signs, bags, and gloves.",0,1,industrial:opt:1,,,
P049,"BRUTE 44 Gallon Trash Container, Gray",RA0044,Cleaning Tools,Supplier Order,Brady,47.80,35%,73.54,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/dacc7f718f9bee7_md.jpg,44-gallon commercial can with venting channels and bag clips. NSF certified for food service. Lid sold separately.,0,1,,,,
P050,"BRUTE Caddy Bag, Yellow",RB0023,Cleaning Tools,Supplier Order,Brady,33.03,35%,50.82,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/65b0bf4d655ee87_md.jpg,12-pocket vinyl bag that snaps onto any 32 or 44-gallon BRUTE rim. Carries your supplies with the can.,0,1,industrial:opt:1,,,
P051,Janitor Cart with 25 Gallon Bag,KL-500900,Cleaning Tools; Carts & Dollies,Supplier Order,Brady,165.08,35%,253.97,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/91f2dc967779e5b_md.jpg,"Three-shelf cart with 25-gallon zippered bag, mop and broom holders, foldable handle, and smooth-rolling wheels.",0,1,office:opt:1; industrial:opt:1,,,
P052,"Bobrick Universal Dispenser Key, CAT 74",PT0064,Cleaning Tools,Supplier Order,Brady,1.18,35%,1.82,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/pt0064.jpg,"Universal replacement key for most Bobrick towel, tissue, soap, and seat cover dispensers with standard tumbler locks.",0,1,office:opt:1,,,
P053,"Commercial Mop Bucket & Side Press Wringer, 35 Quart Yellow",KL-660901,Cleaning Tools; Mopping,Supplier Order,Brady,88.21,35%,135.71,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/d5064e6d9ffcaed_md.jpg,35-quart rectangular mop bucket with easy side-press wringer on smooth-rolling casters.,0,0,,,,
P054,"12"" Extra-Wide Lint Roller w/ Extendable Handle (Qty 4)",1279004,Cleaning Tools,Supplier Order,WebstaurantStore,72.49,35%,111.52,,,,https://cdnimg.webstaurantstore.com/images/products/large/777957/2643758.jpg,12-inch wide lint rollers cover 3x more area than handheld rollers. Extendable handle. Pack of 4.,0,1,,,,
P055,Unger SpeedClean Indoor Window Cleaning Kit,WE3001,Cleaning Tools; Window Cleaning,Supplier Order,Brady,127.74,35%,196.52,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/we3001.jpg,"Complete drip-free indoor window system. Spray the pad, wipe the glass, and it dries streak-free.",0,1,office:core:1; school:opt:1,,,
P056,"BRUTE Cleaning Caddy for 44-Gallon Containers, Gray",RB2649,Cleaning Tools,Supplier Order,Brady,28.56,35%,43.94,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/RB2649_01_md.png,Heavy-duty caddy that clips onto BRUTE 44-gallon cans and turns your rolling trash can into a cleaning station.,0,1,industrial:opt:1,,,
P057,"48"" Commercial Cotton Dust Mop w/ Wooden Handle",TIDY-TOOLS-48,Cleaning Tools; Mopping; Sweeping & Dust Mopping,Supplier Order,Amazon,53.99,35%,83.06,,,,https://m.media-amazon.com/images/I/61WCDc+5S5L._AC_SL1500_.jpg,48-inch wide cotton dust mop covers far more ground than a broom and traps dust instead of scattering it.,0,1,industrial:core:1; school:opt:1,,,
P058,"Unger 4"" Light Duty Floor Scraper w/ 48"" Handle",WD0225,Cleaning Tools,Supplier Order,Brady,27.07,35%,41.65,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/wd0225.jpg,4-foot handled scraper lets you remove stickers and stuck-on grime standing up instead of on your knees.,0,1,industrial:opt:1,,,
P059,"Wall & Baseboard Cleaning Mop w/ 82"" Telescoping Handle & 6 Pads",B0C8M7RQ5R,Cleaning Tools,Supplier Order,Amazon,24.98,35%,38.43,,,,https://m.media-amazon.com/images/I/713hWGm1q8L._AC_SX679_.jpg,Telescoping wall and baseboard mop adjusts from 37 to 82 inches. Includes 6 washable pads.,0,1,,,,
P060,"WaveBrake 35 Qt Dual Chamber Mop Bucket, Side Press, Yellow",MA0100,Cleaning Tools; Mopping,Supplier Order,Brady,92.82,35%,142.80,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ma0100.jpg,Professional 35-quart mop bucket system with WaveBrake anti-splash technology and side-press wringer.,0,1,office:core:1; school:core:1; industrial:core:1; gmp:core:1; medical:opt:1,,,
P061,Corded 6qt Backpack Vacuum w/ HEPA & 8-Piece Tool Kit,457LAVBP6QT,Cleaning Tools; Vacuums,Supplier Order,WebstaurantStore,242.49,35%,373.06,,,,https://cdnimg.webstaurantstore.com/images/products/large/394720/2568961.jpg,Corded 6-quart backpack vacuum with HEPA filtration and a complete 8-piece tool kit.,0,0,,,,
P062,"Corded 12"" Upright Vacuum w/ Shake Out Bag, 18qt",EJ0679,Cleaning Tools; Vacuums,Supplier Order,Brady,150.13,35%,230.97,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ej0679.jpg,Commercial upright with a reusable 18-quart shake-out bag. No disposable bags to buy.,0,1,office:opt:1; school:opt:1,,,
P063,"1/2 Cubic Yard Tilt Truck Dump Cart, 750 lb Capacity",FG130400BLA,Equipment; Carts & Dollies,Supplier Order,Brady,484.10,35%,744.77,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/FG130400BLA_01_md.png,"Commercial tilt truck holds half a cubic yard and 750 lbs, yet is only 24 inches wide so it fits through standard doors.",0,1,,,,
P064,Square Scrub 4x10 Doodle Scrub Floor Prep Machine,EN9100,Equipment; Floor Machines,Supplier Order,Brady,1253.66,35%,1928.71,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/67d9f15f812681b_md.png,"Corded compact floor scrubber for spaces full-size machines cannot reach: behind toilets, under counters, and corners.",0,1,,,,
P065,"Square Scrub 20"" Pivot Floor Preparation Machine",EF1002,Equipment; Floor Machines,Supplier Order,Brady,4159.58,35%,6399.35,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ebg20c.jpg,Corded 14x20 orbital floor machine with a pivoting head that follows uneven floors automatically.,0,1,,,,
P066,"Bissell 9"" Corded Walk-Behind Floor Scrubber & Polisher",BGFS650,Equipment; Floor Machines,Supplier Order,WebstaurantStore,144.95,35%,223.00,,,,https://cdnimg.webstaurantstore.com/images/products/large/643016/2247708.jpg,Lightweight 8 lb scrubber and polisher in one machine. Easy to carry between buildings.,0,1,,,,
P067,"39"" Manual Push Floor Sweeper w/ Triple Brooms, 14.5 Gal",BC39S,Equipment; Floor Machines,Supplier Order,Crystal Floor Scrubber,399.00,35%,613.85,,,,https://static.wixstatic.com/media/87a20c_77dfdd00841d4ed1a9f4c543573954b2~mv2.png,"Manual push sweeper with a 39-inch path sweeps up to 39,000 sq ft per hour. No power needed.",0,1,industrial:opt:1,,,
P068,"Rubbermaid Adaptable Flat Mop Kit for WaveBrake, 18""",2132426,Mopping,Supplier Order,Brady,55.52,35%,85.42,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/2132426.jpg,Complete 18-inch microfiber flat mop system that works with your existing WaveBrake bucket.,0,1,office:opt:1; school:opt:1; industrial:opt:1; gmp:opt:1,,,
P069,"Sanitaire Transport Cordless Backpack Vacuum, 4 Qt HEPA",SC580A,Vacuums,Supplier Order,Brady,794.75,35%,1222.69,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/b2f7e6e5090673f_md.jpg,Cordless backpack under 15 lbs that vacuums 89% faster than pushing an upright around offices. HEPA filtration.,0,1,medical:core:1; school:core:1; office:opt:1,,,
P070,Mosquito Carbon-Lite 6 Qt Corded Backpack Vacuum w/ HEPA,93016,Vacuums,Supplier Order,Brady,686.67,35%,1056.42,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/93016_md.jpg,At 9.6 lbs this backpack is 22% lighter than most yet 42% more powerful. Includes HEPA filtration and tool kit.,0,1,,,,
P071,"Kitsure 45.5"" Collapsible Utility Wagon Cart, 440 lb",B0F9YP68HJ,Carts & Dollies,Supplier Order,Amazon,79.99,35%,123.06,,,,https://m.media-amazon.com/images/I/71+8Uj70M9L._AC_SL1500_.jpg,Heavy-duty collapsible wagon holds 440 lbs and folds flat with one pull. Great for hauling supplies across large properties.,0,1,,,,
